match,competition,date,position,minutes_played,total_actions ,total_actions_successful,TAS_percent,goals,assists,shots,shots_on_target,SOT_percent,xG,passes,passes_accurate,PA_accurate,long_passes,long_passes_accurate,LPA_percent,crosses,crosses_accurate,CA_percent,dribbles,dribbles_successful,DS_percent,duels,duels_won,DW_percent,aerial_duels_won,aerial_duels_won,ADW_percent,interceptions,losses,losses_own_half,LOH_percent,recoveries,recoveries_opp_half,ROPH_percent
Manchester City - Real Madrid 4:0,Europe. UEFA Champions League,5/17/23,LDMF,71,62,46,74,0,0,2,0,0,0.02,31,28,90,1,0,0,1,0,0,0,0,0,17,14,82,2,1,50,4,4,2,50,7,2,29
Real Madrid - Manchester City 1:1,Europe. UEFA Champions League,5/9/23,DMF,86,70,58,83,0,0,1,0,0,0,54,50,93,5,5,100,0,0,0,1,0,0,11,7,64,1,0,0,6,2,0,0,8,1,13
Chelsea - Real Madrid 0:2,Europe. UEFA Champions League,4/18/23,DMF,78,73,60,82,0,0,0,0,0,0,51,48,94,3,2,67,0,0,0,0,0,0,8,5,63,0,0,0,1,2,2,100,3,1,33
Real Madrid - Chelsea 2:0,Europe. UEFA Champions League,4/12/23,DMF,84,102,87,85,0,0,1,0,0,0,76,72,95,4,4,100,0,0,0,0,0,0,16,12,75,2,1,50,3,6,2,33,12,3,25
Real Madrid - Liverpool 1:0,Europe. UEFA Champions League,3/15/23,LCMF3,85,83,69,83,0,0,1,1,100,0.04,66,57,86,10,7,70,2,2,100,1,1,100,11,8,73,0,0,0,3,9,2,22,6,4,67
Liverpool - Real Madrid 2:5,Europe. UEFA Champions League,2/21/23,0,7,22,19,86,0,0,0,0,0,0,20,18,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Real Madrid - Celtic 5:1,Europe. UEFA Champions League,11/2/22,DMF,91,112,102,91,0,0,1,0,0,0.07,100,95,95,6,6,100,0,0,0,0,0,0,7,5,71,0,0,0,2,6,3,50,9,4,44
RB Leipzig - Real Madrid 3:2,Europe. UEFA Champions League,10/25/22,LDMF,76,105,92,88,0,0,0,0,0,0,94,87,93,12,8,67,0,0,0,0,0,0,6,5,83,1,1,100,5,5,2,40,8,3,38
Shakhtar Donetsk - Real Madrid 1:1,Europe. UEFA Champions League,10/11/22,"DMF, LDMF",101,138,109,79,0,1,3,0,0,0.1,110,102,93,13,9,69,3,2,67,2,0,0,17,5,29,0,0,0,3,6,0,0,13,11,85
Real Madrid - Shakhtar Donetsk 2:1,Europe. UEFA Champions League,10/5/22,LCMF3,94,108,95,88,0,0,0,0,0,0,89,86,97,9,7,78,1,0,0,1,1,100,9,6,67,1,0,0,1,6,0,0,5,2,40
Real Madrid - RB Leipzig 2:0,Europe. UEFA Champions League,9/14/22,LCMF,13,7,6,86,0,1,0,0,0,0,5,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Celtic - Real Madrid 0:3,Europe. UEFA Champions League,9/6/22,"DMF, LCMF3",93,134,118,88,0,0,1,0,0,0.03,116,110,95,19,17,89,0,0,0,0,0,0,8,6,75,2,2,100,5,4,3,75,12,4,33
Liverpool - Real Madrid 0:1,Europe. UEFA Champions League,5/28/22,LCMF3,100,116,86,74,0,0,0,0,0,0,77,71,92,13,9,69,0,0,0,1,1,100,14,9,64,0,0,0,6,6,2,33,8,3,38
Real Madrid - Manchester City 3:1 (E),Europe. UEFA Champions League,5/4/22,LDMF,70,63,42,67,0,0,1,0,0,0,42,38,90,3,2,67,0,0,0,4,1,25,10,4,40,0,0,0,1,4,4,100,5,3,60
Manchester City - Real Madrid 4:3,Europe. UEFA Champions League,4/26/22,"DMF, LCMF",95,82,63,77,0,0,0,0,0,0,57,52,91,4,2,50,0,0,0,1,0,0,16,8,50,5,3,60,5,7,2,29,10,4,40
Real Madrid - Chelsea 2:3 (E),Europe. UEFA Champions League,4/12/22,"LCMF, LCMF3",74,76,58,76,0,0,1,1,100,0.07,52,47,90,6,4,67,0,0,0,1,1,100,14,7,50,1,0,0,2,6,1,17,6,4,67
Chelsea - Real Madrid 1:3,Europe. UEFA Champions League,4/6/22,LCMF3,75,57,46,81,0,0,0,0,0,0,38,35,92,3,2,67,1,0,0,0,0,0,11,8,73,2,1,50,0,5,2,40,3,0,0
Real Madrid - PSG 3:1,Europe. UEFA Champions League,3/9/22,DMF,59,70,58,83,0,0,0,0,0,0,53,52,98,3,3,100,1,1,100,0,0,0,12,6,50,2,0,0,3,2,2,100,5,4,80
PSG - Real Madrid 1:0,Europe. UEFA Champions League,2/15/22,LCMF3,95,116,84,72,0,0,1,0,0,0.03,71,63,89,9,6,67,0,0,0,1,0,0,21,13,62,1,1,100,2,10,6,60,5,1,20
Real Madrid - Internazionale 2:0,Europe. UEFA Champions League,12/7/21,LCMF,78,79,67,85,1,0,2,1,50,0.1,65,62,95,10,10,100,1,0,0,0,0,0,2,0,0,0,0,0,3,5,3,60,4,3,75
Sheriff - Real Madrid 0:3,Europe. UEFA Champions League,11/24/21,LCMF3,96,130,120,92,1,0,2,2,100,0.13,115,109,95,10,8,80,1,0,0,2,2,100,10,6,60,1,0,0,2,4,1,25,7,4,57
Real Madrid - Shakhtar Donetsk 2:1,Europe. UEFA Champions League,11/3/21,LCMF,94,113,86,76,0,0,1,1,100,0.08,75,72,96,5,4,80,0,0,0,4,4,100,17,11,65,1,1,100,2,3,1,33,5,3,60
Shakhtar Donetsk - Real Madrid 0:5,Europe. UEFA Champions League,10/19/21,LCMF3,78,96,79,82,0,0,2,2,100,0.05,78,73,94,13,10,77,1,0,0,0,0,0,9,3,33,0,0,0,1,3,1,33,4,3,75
Real Madrid - Sheriff 1:2,Europe. UEFA Champions League,9/28/21,LCMF,32,40,34,85,0,0,2,0,0,0,31,30,97,1,1,100,0,0,0,2,1,50,6,4,67,1,1,100,0,6,0,0,3,3,100
Chelsea - Real Madrid 2:0,Europe. UEFA Champions League,5/5/21,"LCMF, LCMF3",95,110,81,74,0,0,1,1,100,0.01,82,73,89,7,5,71,1,0,0,2,2,100,10,3,30,3,0,0,5,9,3,33,4,3,75
Real Madrid - Chelsea 1:1,Europe. UEFA Champions League,4/27/21,"LCMF, LCMF3",94,127,95,75,0,0,2,0,0,0.08,85,78,92,8,7,88,2,0,0,1,0,0,23,11,48,2,2,100,2,9,6,67,6,3,50
Liverpool - Real Madrid 0:0,Europe. UEFA Champions League,4/14/21,LCMF,74,63,41,65,0,0,1,0,0,0.01,37,34,92,5,4,80,0,0,0,1,1,100,12,4,33,1,0,0,1,2,1,50,3,1,33
Real Madrid - Liverpool 3:1,Europe. UEFA Champions League,4/6/21,"LCMF, LCMF3",95,98,70,71,0,1,1,0,0,0.1,72,65,90,14,12,86,0,0,0,0,0,0,13,4,31,0,0,0,6,5,1,20,4,0,0
Real Madrid - Atalanta 3:1,Europe. UEFA Champions League,3/16/21,LCMF,95,122,91,75,0,0,1,0,0,0.01,87,82,94,7,6,86,0,0,0,4,2,50,19,6,32,0,0,0,7,8,5,63,8,4,50
Atalanta - Real Madrid 0:1,Europe. UEFA Champions League,2/24/21,LCMF3,96,152,139,91,0,0,2,0,0,0.02,133,125,94,17,13,76,2,1,50,2,1,50,10,8,80,1,1,100,2,8,2,25,4,2,50